player_name,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,bull,game_won,date_played,game_number_per_day,game_id
Clayton,1,3,3,3,3,3,0,N,4/11/2020,1,439321
Leighton,3,2,3,3,3,3,3,N,4/11/2020,1,439321
Sam,3,3,3,3,3,3,3,Y,4/11/2020,1,439321
Courtney,3,2,3,2,3,3,0,N,4/11/2020,1,439321
Erik,3,3,3,3,3,3,2,N,4/11/2020,1,439321
Sam,3,3,3,3,3,3,0,N,4/11/2020,2,439322
Leighton,3,3,3,1,3,3,0,N,4/11/2020,2,439322
Clayton,3,3,3,3,3,3,3,Y,4/11/2020,2,439322
JT,3,3,3,3,3,3,0,N,4/11/2020,2,439322
Ashlyn,3,3,3,2,3,3,1,N,4/11/2020,2,439322
Erik,0,1,3,2,3,2,2,N,4/11/2020,2,439322
Sam,3,3,3,3,3,3,3,?,4/11/2020,3,439323
JT,3,3,3,3,3,3,3,?,4/11/2020,3,439323
Erik,3,3,3,3,3,3,2,N,4/11/2020,3,439323
Clayton,3,3,3,3,3,3,3,Y,4/12/2020,1,439331
Sam,3,3,3,3,3,3,2,N,4/12/2020,1,439331
Leighton,0,3,2,2,2,3,3,N,4/12/2020,1,439331
Erik,3,3,3,3,3,3,0,N,4/12/2020,1,439331
Ashlyn,3,1,3,2,3,0,0,N,4/12/2020,1,439331
Clayton,3,3,3,3,3,3,3,Y,4/14/2020,1,439351
Leighton,3,3,3,3,2,1,3,N,4/14/2020,1,439351
Clayton,3,3,3,3,3,3,3,Y,4/14/2020,2,439352
Leighton,1,3,3,2,3,3,3,N,4/14/2020,2,439352
Sam,3,3,3,3,3,2,3,N,4/14/2020,3,439353
Clayton,3,3,3,3,3,3,2,N,4/14/2020,3,439353
Erik,3,3,3,3,3,3,3,Y,4/14/2020,3,439353
Erik,3,3,3,3,3,3,2,N,4/15/2020,1,439361
Sam,3,3,3,3,3,3,3,Y,4/15/2020,1,439361
Clayton,3,3,2,2,3,3,1,N,4/15/2020,1,439361
Leighton,3,3,3,3,0,3,3,N,4/15/2020,1,439361
JT,3,3,3,3,3,3,0,N,4/15/2020,1,439361
Leighton,3,1,3,3,3,3,3,N,4/15/2020,2,439362
Clayton,3,3,3,3,3,3,3,Y,4/15/2020,2,439362
Erik,3,3,3,3,3,1,1,N,4/15/2020,2,439362
Sam,1,3,3,1,3,2,3,N,4/15/2020,2,439362
Clayton,1,3,3,3,2,3,2,N,4/15/2020,3,439363
Leighton,3,3,3,3,3,3,0,N,4/15/2020,3,439363
Sam,3,3,3,3,3,3,3,Y,4/15/2020,3,439363
JT,3,3,3,3,3,3,0,N,4/15/2020,3,439363
Clayton,3,3,3,3,3,3,3,Y,4/15/2020,4,439364
Leighton,3,3,3,3,3,3,2,N,4/15/2020,4,439364
Leighton,3,3,3,3,3,1,3,N,4/16/2020,1,439371
Clayton,3,3,3,3,3,3,3,Y,4/16/2020,1,439371
Erik,3,3,3,2,3,3,3,N,4/16/2020,1,439371
Clayton,3,3,3,3,3,3,3,Y,4/16/2020,2,439372
Erik,3,3,3,3,3,3,2,N,4/16/2020,2,439372
Leighton,3,3,3,3,3,3,3,N,4/16/2020,2,439372
Sam,3,3,1,3,3,3,0,N,4/16/2020,2,439372
JT,1,3,3,3,3,3,0,N,4/16/2020,2,439372
Clayton,1,2,3,2,3,2,0,N,4/16/2020,3,439373
Leighton,3,3,3,0,3,2,2,N,4/16/2020,3,439373
Erik,3,3,3,0,3,0,2,N,4/16/2020,3,439373
Sam,3,3,3,3,3,3,3,Y,4/16/2020,3,439373
JT,0,0,2,3,3,3,1,N,4/16/2020,3,439373
Clayton,3,3,3,3,3,1,3,N,4/17/2020,1,439381
Leighton,3,3,3,3,3,3,3,Y,4/17/2020,1,439381
Graham,2,2,3,2,3,3,3,N,4/17/2020,1,439381
Erik,1,3,3,1,3,3,3,N,4/17/2020,1,439381
Leighton,1,3,3,3,3,2,1,N,4/17/2020,2,439382
Clayton,3,3,3,3,3,3,2,N,4/17/2020,2,439382
Erik,3,3,3,3,3,3,1,N,4/17/2020,2,439382
Sam,3,3,3,3,3,3,3,Y,4/17/2020,2,439382
JT,3,3,3,3,3,3,0,N,4/17/2020,2,439382
Sam,3,3,3,3,3,3,3,Y,4/17/2020,3,439383
Clayton,3,3,3,3,3,3,1,N,4/17/2020,3,439383
Erik,3,3,3,3,3,3,1,N,4/17/2020,3,439383
Leighton,1,3,3,2,3,2,1,N,4/17/2020,3,439383
Courtney,2,3,3,3,3,3,3,N,4/17/2020,3,439383
Clayton,3,3,3,3,3,3,1,N,4/20/2020,1,439411
Leighton,3,3,3,3,3,3,3,Y,4/20/2020,1,439411
Sam,3,3,3,3,3,2,2,N,4/20/2020,1,439411
JT,3,3,3,3,3,3,1,N,4/20/2020,1,439411
Erik,3,0,3,3,3,1,1,N,4/20/2020,1,439411
Leighton,0,3,3,3,0,3,0,N,4/20/2020,2,439412
Sam,3,3,3,3,3,3,1,N,4/20/2020,2,439412
JT,1,2,2,3,3,3,0,N,4/20/2020,2,439412
Clayton,0,2,2,2,1,2,2,N,4/20/2020,2,439412
Erik,3,3,3,3,3,3,3,Y,4/20/2020,2,439412
Clayton,3,3,3,3,3,3,1,N,4/21/2020,1,439421
Leighton,3,2,3,2,3,0,1,N,4/21/2020,1,439421
Sam,3,3,3,3,3,3,3,Y,4/21/2020,1,439421
Clayton,3,3,3,3,3,3,3,Y,4/21/2020,2,439422
Leighton,3,2,2,1,2,1,2,N,4/21/2020,2,439422
Erik,3,3,3,2,3,0,0,N,4/21/2020,2,439422
Leighton,2,1,3,3,1,3,0,N,4/22/2020,1,439431
Clayton,3,3,3,3,3,3,3,Y,4/22/2020,1,439431
Logan,3,2,3,1,3,1,3,N,4/22/2020,1,439431
JT,3,3,3,3,3,3,1,N,4/22/2020,1,439431
Erik,3,3,3,3,3,3,0,N,4/22/2020,1,439431
Jefferson,3,3,0,3,3,3,2,N,4/22/2020,1,439431
Leighton,1,1,3,1,3,2,3,N,4/22/2020,2,439432
Sam,3,3,3,3,3,3,3,Y,4/22/2020,2,439432
Clayton,2,3,1,2,3,2,2,N,4/22/2020,2,439432
Logan,3,2,1,2,2,3,0,N,4/22/2020,2,439432
Courtney,3,3,0,3,3,2,0,N,4/22/2020,2,439432
JT,1,1,3,3,3,3,0,N,4/22/2020,2,439432
Erik,3,3,3,2,3,2,0,N,4/22/2020,2,439432
Sam,3,3,3,3,3,3,0,N,4/22/2020,3,439433
Erik,3,3,3,2,3,3,0,N,4/22/2020,3,439433
Clayton,3,3,3,3,3,3,3,Y,4/22/2020,3,439433
Courtney,3,1,3,1,0,3,2,N,4/22/2020,3,439433
Leighton,2,0,2,3,2,1,0,N,4/22/2020,3,439433
Logan,1,0,1,3,3,2,1,N,4/22/2020,3,439433
JT,1,0,3,2,1,3,0,N,4/22/2020,3,439433
Clayton,3,3,3,3,3,3,2,N,4/28/2020,1,439491
Leighton,3,3,3,3,3,3,3,Y,4/28/2020,1,439491
Clayton,3,3,3,3,3,3,3,Y,4/28/2020,2,439492
Leighton,3,3,3,3,3,3,2,N,4/28/2020,2,439492
Clayton,3,0,3,3,3,3,0,N,4/28/2020,3,439493
Leighton,3,3,3,3,3,3,3,Y,4/28/2020,3,439493
Erik,3,3,1,2,3,1,0,N,4/28/2020,3,439493
Leighton,3,3,3,3,3,3,3,Y,4/28/2020,4,439494
Clayton,3,3,3,3,3,3,2,N,4/28/2020,4,439494
Erik,3,3,3,3,3,3,1,N,4/28/2020,4,439494
Leighton,3,3,3,3,2,3,3,N,4/30/2020,2,439512
Clayton,3,3,3,3,3,3,3,Y,4/30/2020,2,439512
Ashlyn,3,1,3,1,3,0,2,N,4/30/2020,2,439512
Jefferson,0,3,3,3,3,3,1,N,4/30/2020,2,439512
Allana,3,3,0,1,1,3,0,N,4/30/2020,2,439512
Sam,3,3,3,1,3,1,1,N,4/30/2020,2,439512
Clayton,3,3,3,3,3,3,2,N,4/30/2020,3,439513
Leighton,0,2,3,2,1,3,3,N,4/30/2020,3,439513
Sam,3,3,3,3,3,3,3,Y,4/30/2020,3,439513
Erik,3,3,3,3,3,3,2,N,4/30/2020,3,439513
Courtney,3,3,2,2,3,1,3,N,4/30/2020,3,439513
Ashlyn,3,3,3,0,3,3,0,N,4/30/2020,3,439513
Leighton,3,3,3,3,3,3,1,N,5/1/2020,1,439521
Clayton,3,3,3,3,2,3,3,N,5/1/2020,1,439521
Erik,3,3,3,3,3,3,3,Y,5/1/2020,1,439521
Clayton,2,2,3,3,3,3,2,N,5/1/2020,2,439522
Leighton,3,3,3,3,3,3,0,N,5/1/2020,2,439522
Sam,3,3,3,3,3,3,3,N,5/1/2020,2,439522
Ashlyn,3,3,3,0,3,2,0,N,5/1/2020,2,439522
Erik,3,3,3,3,3,3,0,N,5/1/2020,2,439522
JT,1,1,2,2,3,2,2,N,5/1/2020,2,439522
Courtney,3,3,3,3,2,2,1,N,5/1/2020,2,439522
Leighton,1,2,3,2,3,2,2,N,5/5/2020,1,439561
Clayton,2,3,3,3,2,3,0,N,5/5/2020,1,439561
Sam,2,3,0,3,3,2,0,N,5/5/2020,1,439561
Erik,3,3,3,1,3,3,3,N,5/5/2020,1,439561
Ken,3,1,1,0,0,0,2,N,5/5/2020,1,439561
Ashlyn,1,0,3,2,2,2,2,N,5/5/2020,1,439561
Austin,3,3,3,0,3,3,1,N,5/5/2020,1,439561
Courtney,1,1,2,3,2,3,1,N,5/5/2020,1,439561
JT,3,3,3,3,3,3,3,Y,5/5/2020,1,439561
JT,1,0,3,3,1,3,2,N,5/5/2020,2,439562
Erik,3,3,3,2,3,3,1,N,5/5/2020,2,439562
Clayton,2,2,3,3,3,2,0,N,5/5/2020,2,439562
Leighton,3,0,2,1,3,3,0,N,5/5/2020,2,439562
Sam,3,3,3,3,3,3,3,Y,5/5/2020,2,439562
Courtney,3,0,3,2,3,3,3,N,5/5/2020,2,439562
Ashlyn,3,3,3,3,0,3,1,N,5/5/2020,2,439562
Ken,1,3,3,3,0,3,2,N,5/5/2020,2,439562
Erik,3,3,3,3,3,3,2,N,5/11/2020,1,439621
Clayton,3,3,3,3,3,3,3,Y,5/11/2020,1,439621
Leighton,3,3,2,1,3,3,1,N,5/11/2020,1,439621
Ashlyn,3,0,3,3,2,0,0,N,5/11/2020,1,439621
Clayton,3,3,3,3,3,3,0,N,5/11/2020,2,439622
Erik,3,3,3,3,3,3,3,Y,5/11/2020,2,439622
Leighton,3,3,3,3,1,1,3,N,5/11/2020,2,439622
Ashlyn,3,0,3,3,3,2,0,N,5/11/2020,2,439622
Erik,3,3,3,3,3,3,3,Y,5/11/2020,3,439623
Clayton,3,3,3,3,3,3,1,N,5/11/2020,3,439623
Leighton,3,3,3,3,3,3,1,N,5/11/2020,3,439623
Ashlyn,3,2,3,1,3,3,2,N,5/11/2020,3,439623
Erik,3,3,3,3,3,3,3,Y,5/12/2020,1,439631
Leighton,3,3,3,3,3,3,2,N,5/12/2020,1,439631
Clayton,3,3,3,3,3,3,1,N,5/12/2020,1,439631
Erik,3,3,3,3,3,2,1,N,5/12/2020,2,439632
Leighton,3,3,3,3,3,3,0,N,5/12/2020,2,439632
Clayton,3,3,3,3,3,3,1,N,5/12/2020,2,439632
Sam,3,3,3,3,3,3,3,Y,5/12/2020,2,439632
Sam,3,3,3,3,3,3,2,N,5/12/2020,3,439633
Clayton,3,3,3,3,3,3,3,Y,5/12/2020,3,439633
Erik,3,3,3,3,3,2,2,N,5/12/2020,3,439633
Leighton,3,2,3,0,3,2,0,N,5/12/2020,3,439633
Courtney,3,2,3,1,3,2,0,N,5/12/2020,3,439633
Ashlyn,1,2,3,3,3,0,2,N,5/12/2020,3,439633
Leighton,2,0,3,1,3,3,0,N,5/15/2020,1,439661
Erik,3,3,3,3,3,3,3,Y,5/15/2020,1,439661
Clayton,2,1,3,3,3,3,0,N,5/15/2020,1,439661
Erik,3,3,3,3,3,3,3,Y,5/15/2020,2,439662
Clayton,3,2,1,2,3,3,0,N,5/15/2020,2,439662
Leighton,3,1,3,3,2,3,1,N,5/15/2020,2,439662
Sam,1,1,3,3,1,3,0,N,5/15/2020,2,439662
JT,3,3,2,1,3,3,2,N,5/15/2020,2,439662
Erik,3,3,3,3,3,3,3,Y,5/15/2020,3,439663
Leighton,3,3,3,2,3,3,1,N,5/15/2020,3,439663
Clayton,3,1,3,3,3,2,2,N,5/15/2020,3,439663
Sam,3,3,3,3,3,3,2,N,5/15/2020,3,439663
Ashlyn,3,1,3,2,3,3,1,N,5/15/2020,3,439663
JT,3,3,3,3,3,3,0,N,5/15/2020,3,439663
Courtney,3,2,3,0,2,3,0,N,5/15/2020,3,439663
Leighton,3,3,3,3,3,3,3,Y,5/18/2020,1,439691
Clayton,3,3,3,3,3,3,0,N,5/18/2020,1,439691
Erik,3,3,3,3,3,3,1,N,5/18/2020,1,439691
Leighton,3,3,3,3,3,3,0,N,5/18/2020,2,439692
Erik,3,3,3,3,3,3,2,N,5/18/2020,2,439692
Clayton,3,3,3,3,3,3,3,Y,5/18/2020,2,439692
Clayton,3,3,3,3,3,3,2,N,5/18/2020,3,439693
Erik,3,3,3,3,3,3,3,Y,5/18/2020,3,439693
Leighton,3,3,3,3,3,3,0,N,5/18/2020,3,439693
Erik,3,3,3,3,3,3,3,Y,5/18/2020,4,439694
Clayton,3,3,3,3,3,3,0,N,5/18/2020,4,439694
Leighton,3,3,3,3,3,3,2,N,5/18/2020,4,439694
Erik,3,3,3,3,3,3,3,Y,5/19/2020,1,439701
Clayton,3,3,3,3,3,3,2,N,5/19/2020,1,439701
Leighton,3,3,3,3,3,3,0,N,5/19/2020,1,439701
Erik,3,3,3,3,3,3,3,Y,5/19/2020,2,439702
Clayton,3,1,3,3,3,3,0,N,5/19/2020,2,439702
Leighton,2,3,3,3,3,3,1,N,5/19/2020,2,439702
Leighton,3,3,3,3,3,3,2,N,5/29/2020,1,439801
Clayton,3,3,3,3,3,3,1,N,5/29/2020,1,439801
Erik,3,3,3,3,3,3,3,Y,5/29/2020,1,439801
